humidity,temperature,rainfall,wind_speed,disaster_type
25,30.05,194.5,3.34,flood
16,20.64,76.1,26.33,earthquake
25,22.99,0.28,2.59,earthquake
88,44.49,188.87,16.34,flood
77,31.48,51.97,10.26,flood
93,28.08,47.09,28.04,earthquake
52,38.26,113.17,29.44,earthquake
64,38.76,120.8,15.7,flood
27,32.42,148.2,27.26,flood
88,40.96,71.44,19.59,fire
69,27.65,26.46,2.88,fire
63,20.38,174.93,25.98,flood
43,33.92,6.83,29.67,earthquake
65,34.06,110.0,17.73,flood
29,44.22,61.0,5.77,fire
93,24.1,175.15,26.16,flood
30,38.24,66.31,26.77,fire
95,30.38,110.54,21.9,flood
11,37.81,173.73,4.1,flood
76,35.26,94.64,21.8,flood
39,27.72,25.23,22.1,flood
68,31.67,103.13,21.26,flood
73,28.73,96.47,14.5,flood
60,29.52,6.94,10.35,flood
45,44.67,148.51,27.95,earthquake
16,43.03,144.6,24.9,fire
38,20.71,27.32,8.45,earthquake
58,33.03,89.32,15.44,flood
33,28.9,25.45,16.91,earthquake
40,29.29,128.17,18.1,earthquake
31,40.11,63.36,19.77,earthquake
89,20.01,31.22,2.51,fire
60,38.3,75.56,18.61,fire
73,40.02,156.04,6.32,flood
52,26.35,187.22,7.71,flood
65,37.25,104.5,14.93,flood
24,32.64,185.92,2.41,flood
93,29.93,21.69,2.71,fire
46,43.15,121.15,10.1,fire
19,44.0,144.14,16.19,fire
27,22.83,86.94,19.32,earthquake
39,30.37,180.05,19.67,earthquake
61,41.75,158.94,24.62,flood
75,40.15,36.07,7.55,fire
15,41.78,45.6,0.45,fire
86,37.1,191.69,3.58,flood
98,28.0,29.94,14.73,fire
94,44.18,9.3,23.32,earthquake
90,38.97,37.13,11.97,fire
24,31.13,32.28,4.23,fire
32,21.74,105.38,2.85,flood
33,30.99,146.0,27.49,fire
62,43.6,134.86,20.79,flood
16,36.11,73.31,6.32,flood
52,24.51,92.63,29.95,earthquake
40,22.17,104.24,24.79,flood
58,35.17,192.95,1.94,earthquake
95,43.01,43.62,5.01,flood
39,32.16,131.91,11.99,earthquake
34,28.77,174.64,27.82,flood
49,21.25,67.71,29.36,earthquake
12,23.45,110.59,24.01,fire
94,36.98,93.86,23.13,flood
43,20.61,111.1,2.62,fire
96,40.16,82.32,1.73,flood
12,35.6,137.44,26.21,earthquake
71,38.36,14.21,4.98,fire
33,25.61,124.19,0.85,flood
16,29.26,7.08,4.95,earthquake
90,36.92,70.37,8.66,earthquake
91,40.69,106.61,17.53,flood
94,33.86,33.62,23.03,earthquake
85,24.55,127.92,6.83,flood
68,25.27,113.37,0.47,flood
66,22.9,142.47,0.36,flood
26,43.08,96.21,27.82,fire
85,36.2,63.84,16.07,flood
72,28.96,197.67,4.97,flood
83,34.19,94.65,23.67,flood
87,39.28,165.08,13.11,flood
24,33.87,32.96,21.91,flood
42,20.01,140.03,16.23,earthquake
86,39.58,192.54,24.69,flood
48,20.54,96.04,1.28,flood
68,42.94,196.38,17.17,flood
62,43.62,68.45,1.47,flood
47,44.04,124.73,13.57,earthquake
44,28.08,131.55,8.36,flood
30,26.72,24.66,9.09,earthquake
90,22.31,171.4,15.03,flood
43,31.13,81.86,27.43,flood
99,30.47,199.71,3.62,flood
54,23.69,135.86,21.53,fire
52,28.22,28.12,8.18,fire
68,42.73,104.77,8.26,flood
62,43.08,108.12,15.85,flood
40,22.06,58.14,7.41,fire
39,30.42,172.31,10.37,fire
46,38.53,17.84,8.86,flood
57,30.7,134.1,22.73,flood
81,39.95,104.56,3.24,flood
40,24.94,23.51,6.94,fire
89,39.21,143.36,14.69,flood
34,30.72,18.13,23.77,flood
50,28.36,65.77,15.94,fire
65,28.06,126.66,3.07,flood
77,30.81,183.05,13.04,flood
83,38.18,155.07,11.71,flood
97,44.39,54.83,7.67,fire
48,33.19,174.39,25.89,earthquake
60,36.13,138.53,28.28,flood
54,29.33,147.93,11.19,earthquake
27,42.36,91.36,18.45,fire
90,39.26,145.7,0.62,flood
53,32.7,187.27,17.67,fire
63,37.73,12.37,24.85,flood
10,43.05,7.02,28.32,fire
57,21.33,111.71,6.03,flood
41,43.54,113.05,23.79,earthquake
30,42.62,127.1,7.83,fire
29,23.3,44.22,9.58,flood
83,39.41,55.37,16.29,fire
13,42.14,71.23,21.39,fire
60,21.05,162.62,28.78,fire
99,38.14,62.35,29.28,earthquake
97,22.31,57.36,24.56,fire
62,27.33,188.35,7.96,flood
73,33.42,50.59,6.6,fire
26,36.42,45.43,15.69,flood
84,29.33,49.62,21.69,fire
28,23.18,39.35,26.58,earthquake
62,41.68,84.71,18.51,flood
35,42.79,96.31,23.74,fire
51,42.24,92.14,14.3,earthquake
34,29.87,51.2,18.84,flood
23,22.38,67.33,5.39,earthquake
29,33.46,197.21,24.23,flood
13,20.06,84.93,25.71,flood
69,23.46,154.34,21.49,flood
90,24.19,47.79,24.37,flood
54,36.66,5.35,28.71,earthquake
67,41.26,39.98,6.66,fire
89,31.57,138.34,2.89,flood
45,28.79,83.27,2.24,flood
58,26.81,115.14,10.32,fire
89,20.5,112.56,5.25,flood
35,39.99,120.77,28.02,flood
93,37.45,146.66,17.7,flood
49,40.23,176.9,8.38,fire
43,29.1,125.76,29.66,flood
59,23.31,7.02,28.33,flood
25,36.68,68.34,9.03,flood
23,26.01,171.97,18.94,flood
89,43.43,99.55,9.68,flood
24,42.48,79.36,7.8,fire
62,23.77,38.98,0.88,fire
31,21.19,72.4,11.18,earthquake
99,25.43,119.69,19.82,flood
81,23.26,40.31,25.6,fire
35,35.87,131.94,10.53,fire
39,33.91,128.02,13.49,fire
10,23.21,70.79,17.69,earthquake
34,42.37,62.78,3.04,earthquake
78,28.19,136.4,17.13,flood
