population_density,severity_index,infrastructure_score,risk_score
631,6.55,6.42,medium
926,8.79,9.72,high
581,4.01,6.81,medium
108,2.39,6.75,low
396,5.28,1.57,medium
466,2.31,3.37,low
491,4.7,3.58,medium
809,1.39,1.93,low
960,3.43,8.93,low
859,3.3,4.3,low
982,6.73,9.31,medium
697,6.14,8.71,medium
951,4.01,6.38,medium
451,7.32,7.02,medium
192,6.91,5.77,medium
553,1.03,8.49,low
889,7.71,2.66,high
406,7.86,8.54,medium
907,4.98,6.33,medium
493,4.05,2.08,medium
966,6.3,2.4,medium
267,8.1,2.9,medium
893,6.35,7.9,medium
880,3.21,7.79,low
537,1.73,5.63,low
662,4.97,2.31,medium
185,8.96,1.81,medium
927,1.81,7.65,low
878,5.96,2.76,medium
570,8.58,6.8,medium
357,5.72,5.05,medium
989,5.94,8.05,medium
958,5.98,4.59,medium
743,1.95,3.13,low
775,6.38,7.55,medium
339,5.55,6.74,medium
557,4.62,5.36,medium
650,2.72,3.47,low
182,9.29,8.31,medium
299,1.72,8.0,low
82,2.27,2.39,low
270,4.39,3.72,medium
682,1.38,1.56,low
251,4.3,3.91,medium
117,3.44,7.66,low
855,3.42,9.22,low
499,2.68,6.88,low
909,1.82,7.51,low
181,7.17,7.02,medium
763,7.04,8.55,high
465,9.83,9.32,medium
467,3.51,5.39,low
668,5.94,5.39,medium
321,5.34,4.82,medium
355,6.7,9.59,medium
277,8.84,9.26,medium
730,2.02,2.43,low
101,1.01,5.39,low
600,2.71,4.83,low
225,4.08,2.14,medium
326,2.95,2.86,low
759,1.62,9.06,low
420,6.42,2.06,medium
248,6.03,1.12,medium
116,7.57,7.01,medium
826,1.69,7.33,low
858,2.7,6.98,low
745,4.49,5.9,medium
682,1.44,1.01,low
457,7.39,4.08,medium
562,6.3,1.55,medium
821,5.83,5.97,medium
449,5.85,5.52,medium
760,6.5,1.89,medium
205,3.9,2.71,low
496,5.65,6.88,medium
210,2.92,3.46,low
274,5.02,9.22,medium
238,5.92,7.15,medium
617,9.97,7.63,medium
361,2.19,5.47,low
804,6.15,5.01,medium
469,3.41,1.37,low
328,2.72,1.83,low
505,3.56,2.69,low
814,7.41,8.04,high
713,7.65,4.21,high
314,9.52,4.22,medium
389,9.84,6.28,medium
86,7.82,1.7,medium
398,4.96,2.57,medium
224,5.3,4.89,medium
612,9.91,9.41,medium
536,2.27,4.59,low
61,6.31,4.58,medium
448,6.85,9.9,medium
986,8.02,1.49,high
851,2.27,9.4,low
466,2.02,3.99,low
451,8.6,8.78,medium
399,9.8,1.08,medium
84,3.95,6.09,low
924,5.23,7.45,medium
855,7.06,9.83,high
629,8.61,8.0,medium
822,4.66,2.86,medium
609,9.54,1.94,medium
550,5.26,2.38,medium
406,4.36,2.78,medium
76,8.82,8.61,medium
701,7.48,7.53,high
852,4.71,8.33,medium
58,4.67,1.72,medium
926,6.69,4.89,medium
198,7.97,6.67,medium
460,2.98,7.72,low
589,9.83,9.36,medium
97,8.51,4.16,medium
578,7.6,9.52,medium
327,9.67,9.53,medium
357,7.74,6.35,medium
862,5.79,6.16,medium
663,2.68,7.68,low
170,4.92,6.63,medium
735,5.57,5.52,medium
983,3.94,4.01,low
692,1.35,7.08,low
269,1.62,8.9,low
659,2.78,1.46,low
198,6.88,1.47,medium
905,8.2,6.1,high
490,6.82,1.2,medium
679,3.85,7.29,low
138,5.58,8.92,medium
576,4.05,6.5,medium
625,6.96,7.07,medium
719,2.31,6.3,low
152,9.44,9.84,medium
803,4.41,1.25,medium
340,3.64,5.38,low
742,6.18,9.26,medium
766,6.21,5.08,medium
648,2.75,2.15,low
337,6.86,8.74,medium
628,1.38,8.5,low
691,8.65,1.16,medium
557,3.25,7.24,low
298,6.84,2.98,medium
